date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:59	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
09:33:59	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
09:33:59	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
09:33:59	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
09:33:59	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
09:34:00	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
09:34:00	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
09:34:00	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
09:34:00	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
09:34:01	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
09:34:01	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/nicol/OneDrive/Desktop/ClassCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
